country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Indonesia,2009,IDN,240981296,1905717411840,19.437,0.081,398.942,33.224,9.085,1275.495,312.746,32.485,5.293,0.669,0.794,1.655,0.209,0.248,128.274,0.532,395.302,1.64,0.207,372.503,8440.705,75975.227,1374.395,362.37,1562.105,79098.844,4769.333,,6665.187,0.843,5.43,0.023,64.541,0.268,3.164,5.955,876.553,3.637,407.73,1.692,59.49,0.247,181.26,0.752,,,1606.185,1.654,1.267,3.473,0.984,1.371,0.644,3.716,0.219,2.528,0.917,10.695,1.029,,1.643,1.123,16.74,1.654,,3.52,0.01,0.035,0.047,0.001,1434.93,762.56,-3.64,-0.912
Indonesia,2010,IDN,244016176,2039334567936,19.461,0.08,445.806,46.864,11.747,944.802,-330.693,-25.927,3.872,0.463,0.544,1.827,0.219,0.256,152.667,0.626,445.443,1.825,0.218,391.964,8886.512,76920.039,1527.062,366.644,1635.835,79597.844,4965.007,,7123.851,0.852,4.274,0.018,73.73,0.302,3.23,4.435,498.996,2.045,318.29,1.304,57.82,0.237,195.674,0.802,,,1738.335,1.551,1.339,2.455,1.095,1.379,0.662,3.692,0.238,2.498,0.927,10.688,1.046,,1.252,1.191,9.638,1.727,,3.517,0.01,0.036,0.047,0.001,1082.12,788.13,-0.363,-0.081
Indonesia,2011,IDN,247099696,2178184511488,21.1,0.085,500.725,54.918,12.319,1233.501,288.699,30.556,4.992,0.566,0.672,2.026,0.23,0.273,181.281,0.734,503.833,2.039,0.231,413.064,9387.236,78153.531,1708.343,372.106,1717.388,80330.617,5176.335,,7431.696,0.843,5.462,0.022,81.553,0.33,3.473,6.644,732.776,2.966,367.17,1.486,60.98,0.247,211.329,0.855,,,1836.37,1.564,1.454,3.111,1.231,1.387,0.681,3.681,0.26,2.475,0.939,10.711,1.065,,1.519,1.28,14.043,1.862,,3.524,0.011,0.037,0.048,0.001,1641.84,858.23,3.108,0.621
Indonesia,2012,IDN,250222688,2309530058752,23.294,0.093,515.954,15.23,3.042,1262.823,29.322,2.377,5.047,0.547,0.666,2.062,0.223,0.272,187.171,0.748,537.816,2.149,0.233,436.358,9903.191,79416.359,1895.514,378.755,1797.45,81077.492,5395.113,,7576.405,0.821,6.649,0.027,80.062,0.32,3.45,6.638,746.869,2.985,367.06,1.467,63.11,0.252,218.777,0.874,,,1895.788,1.683,1.477,3.135,1.256,1.401,0.701,3.671,0.282,2.457,0.949,10.734,1.084,,1.762,1.231,13.973,1.903,,3.531,0.011,0.037,0.049,0.001,1661.05,863.28,21.862,4.237
Indonesia,2013,IDN,253275920,2437876809728,24.775,0.098,489.055,-26.899,-5.213,1236.327,-26.496,-2.098,4.881,0.507,0.683,1.931,0.201,0.27,164.219,0.648,512.929,2.025,0.21,461.133,10392.245,80652.688,2059.733,384.654,1862.204,81824.766,5624.521,,7145.67,0.742,5.899,0.023,64.753,0.256,3.274,6.308,747.272,2.95,361.19,1.426,60.59,0.239,229.408,0.906,,,1809.826,1.717,1.388,3.084,1.096,1.415,0.718,3.661,0.3,2.434,0.951,10.764,1.104,,1.53,0.991,15.38,1.98,,3.537,0.011,0.038,0.05,0.001,1597.66,829.24,23.874,4.882
Indonesia,2014,IDN,256229760,2559933415424,25.534,0.1,487.89,-1.165,-0.238,1425.563,189.236,15.306,5.564,0.557,0.775,1.904,0.191,0.265,173.584,0.677,509.986,1.99,0.199,486.667,10880.135,82078.242,2233.318,390.418,1924.619,82762.438,5845.114,,7179.497,0.719,5.763,0.022,62.416,0.244,3.41,7.703,937.673,3.66,444.53,1.735,64.66,0.252,220.593,0.861,,,1839.601,1.703,1.376,3.504,1.157,1.427,0.734,3.658,0.318,2.412,0.95,10.813,1.122,,1.489,0.939,17.983,1.898,,3.55,0.012,0.038,0.051,0.001,1973.8,873.79,22.096,4.529
Indonesia,2015,IDN,259091968,2684764028928,24.558,0.095,539.149,51.259,10.506,1936.231,510.668,35.822,7.473,0.721,1.038,2.081,0.201,0.289,197.815,0.763,545.719,2.106,0.203,511.224,11419.284,84014.484,2431.133,395.878,2018.872,84159.523,6062.177,,7202.464,0.695,5.461,0.021,94.253,0.364,3.376,7.804,1397.082,5.392,452.57,1.747,65.62,0.253,217.063,0.838,,,1866.101,1.7,1.52,4.712,1.349,1.438,0.752,3.677,0.339,2.389,0.964,10.915,1.138,,1.421,1.389,24.814,1.826,,3.576,0.012,0.039,0.052,0.001,2022.03,874.6,6.569,1.218
Indonesia,2016,IDN,261850176,2819890085888,28.71,0.11,540.086,0.936,0.174,1183.53,-752.701,-38.875,4.52,0.42,0.624,2.063,0.192,0.285,206.328,0.788,549.233,2.098,0.195,539.934,11959.371,85198.016,2637.461,400.968,2110.057,84802.961,6270.95,,7243.88,0.673,5.089,0.019,91.185,0.348,3.323,5.286,643.444,2.457,332.6,1.27,64.45,0.246,208.773,0.797,,,1896.811,1.936,1.523,2.954,1.44,1.458,0.77,3.664,0.361,2.366,0.975,10.933,1.151,,1.36,1.308,13.991,1.739,,3.579,0.012,0.04,0.053,0.001,1384.26,870.04,9.147,1.694
Indonesia,2017,IDN,264498848,2962852151296,28.966,0.11,556.944,16.859,3.121,1168.161,-15.369,-1.299,4.417,0.394,0.594,2.106,0.188,0.283,221.093,0.836,563.748,2.131,0.19,568.9,12516.315,86366.164,2858.554,405.355,2194.396,85414.18,6489.11,,7439.383,0.664,4.387,0.017,84.339,0.319,3.458,5.275,611.216,2.311,331.35,1.253,70.29,0.266,218.16,0.825,,,1967.708,1.925,1.546,2.878,1.526,1.476,0.787,3.651,0.384,2.339,0.982,10.948,1.165,,1.132,1.184,13.389,1.785,,3.583,0.012,0.041,0.054,0.001,1395.33,914.63,6.804,1.222
Indonesia,2018,IDN,267066848,3116158943232,30.832,0.115,594.101,37.157,6.672,1114.337,-53.824,-4.608,4.173,0.358,0.518,2.225,0.191,0.276,262.222,0.982,605.42,2.267,0.194,599.732,13110.416,87480.508,3120.776,409.301,2278.544,85934.414,6702.062,,8056.51,0.69,3.946,0.015,84.148,0.315,3.671,6.146,520.236,1.948,383.02,1.434,74.18,0.278,212.953,0.797,,,2151.627,1.969,1.616,2.714,1.781,1.496,0.806,3.635,0.411,2.307,0.987,10.954,1.177,,0.969,1.122,12.14,1.736,,3.589,0.013,0.041,0.055,0.001,1641.42,980.51,11.319,1.905
